# step eps sigma_xx sigma_yy sigma_zz sigma_vm
1.000000e+00 1.000000e-03 2.016038e+02 2.220297e+00 1.721056e+00 1.999319e+02
2.000000e+00 2.000000e-03 3.534304e+02 2.780282e+01 2.930975e+01 3.284575e+02
3.000000e+00 3.000000e-03 3.684012e+02 2.274672e+01 2.386779e+01 3.548707e+02
4.000000e+00 4.000000e-03 3.778530e+02 2.276176e+01 2.385301e+01 3.695631e+02
5.000000e+00 5.000000e-03 3.846966e+02 2.308916e+01 2.421601e+01 3.796937e+02
6.000000e+00 6.000000e-03 3.905172e+02 2.336508e+01 2.450679e+01 3.879251e+02
7.000000e+00 7.000000e-03 3.958223e+02 2.357668e+01 2.471814e+01 3.951484e+02
8.000000e+00 8.000000e-03 4.008321e+02 2.374567e+01 2.487038e+01 4.017736e+02
9.000000e+00 9.000000e-03 4.056584e+02 2.389137e+01 2.498902e+01 4.080050e+02
1.000000e+01 1.000000e-02 4.103637e+02 2.401954e+01 2.508618e+01 4.139641e+02
1.100000e+01 1.100000e-02 4.149867e+02 2.413644e+01 2.516940e+01 4.197263e+02
1.200000e+01 1.200000e-02 4.195480e+02 2.424539e+01 2.524527e+01 4.253349e+02
1.300000e+01 1.300000e-02 4.240624e+02 2.434742e+01 2.531585e+01 4.308223e+02
1.400000e+01 1.400000e-02 4.285405e+02 2.444469e+01 2.538103e+01 4.362127e+02
1.500000e+01 1.500000e-02 4.329897e+02 2.453905e+01 2.544271e+01 4.415238e+02
1.600000e+01 1.600000e-02 4.374146e+02 2.463102e+01 2.550196e+01 4.467681e+02
1.700000e+01 1.700000e-02 4.418183e+02 2.472002e+01 2.555939e+01 4.519555e+02
1.800000e+01 1.800000e-02 4.462030e+02 2.480683e+01 2.561572e+01 4.570918e+02
1.900000e+01 1.900000e-02 4.505706e+02 2.489187e+01 2.567096e+01 4.621829e+02
2.000000e+01 2.000000e-02 4.549237e+02 2.497567e+01 2.572539e+01 4.672344e+02
