# eps min q25 median q75 max
1.000000e-03 1.787587e+02 2.016063e+02 2.016085e+02 2.016095e+02 3.093075e+02
2.000000e-03 3.126522e+02 3.364330e+02 3.517779e+02 3.647461e+02 5.601880e+02
3.000000e-03 2.488623e+02 3.422755e+02 3.634087e+02 3.910495e+02 5.784958e+02
4.000000e-03 2.012194e+02 3.460588e+02 3.728912e+02 4.069081e+02 5.908395e+02
5.000000e-03 1.751988e+02 3.496650e+02 3.800217e+02 4.171983e+02 6.171453e+02
6.000000e-03 1.587805e+02 3.532173e+02 3.861307e+02 4.255810e+02 6.450137e+02
7.000000e-03 1.475749e+02 3.569965e+02 3.914520e+02 4.325155e+02 6.660758e+02
8.000000e-03 1.393189e+02 3.605767e+02 3.966442e+02 4.388075e+02 6.830537e+02
9.000000e-03 1.333840e+02 3.640479e+02 4.016606e+02 4.449506e+02 6.969889e+02
1.000000e-02 1.291836e+02 3.676990e+02 4.062311e+02 4.508397e+02 7.094402e+02
1.100000e-02 1.258271e+02 3.713369e+02 4.109390e+02 4.563416e+02 7.209683e+02
1.200000e-02 1.226684e+02 3.749496e+02 4.155033e+02 4.616948e+02 7.321939e+02
1.300000e-02 1.198617e+02 3.785168e+02 4.201842e+02 4.673222e+02 7.430269e+02
1.400000e-02 1.173531e+02 3.821267e+02 4.246458e+02 4.724068e+02 7.535651e+02
1.500000e-02 1.151089e+02 3.857844e+02 4.290800e+02 4.775876e+02 7.641072e+02
1.600000e-02 1.131226e+02 3.894336e+02 4.334742e+02 4.826860e+02 7.741919e+02
1.700000e-02 1.113176e+02 3.931074e+02 4.378108e+02 4.878577e+02 7.841672e+02
1.800000e-02 1.096207e+02 3.967269e+02 4.421516e+02 4.928027e+02 7.940062e+02
1.900000e-02 1.079744e+02 4.003765e+02 4.465000e+02 4.977002e+02 8.037446e+02
2.000000e-02 1.063285e+02 4.039399e+02 4.509514e+02 5.026020e+02 8.134720e+02
