# eps sigma_xx_avg sigma_vm_avg
1.000000e-03 2.016038e+02 1.999319e+02
2.000000e-03 3.534304e+02 3.284575e+02
3.000000e-03 3.684012e+02 3.548707e+02
4.000000e-03 3.778530e+02 3.695631e+02
5.000000e-03 3.846966e+02 3.796937e+02
6.000000e-03 3.905172e+02 3.879251e+02
7.000000e-03 3.958223e+02 3.951484e+02
8.000000e-03 4.008321e+02 4.017736e+02
9.000000e-03 4.056584e+02 4.080050e+02
1.000000e-02 4.103637e+02 4.139641e+02
1.100000e-02 4.149867e+02 4.197263e+02
1.200000e-02 4.195480e+02 4.253349e+02
1.300000e-02 4.240624e+02 4.308223e+02
1.400000e-02 4.285405e+02 4.362127e+02
1.500000e-02 4.329897e+02 4.415238e+02
1.600000e-02 4.374146e+02 4.467681e+02
1.700000e-02 4.418183e+02 4.519555e+02
1.800000e-02 4.462030e+02 4.570918e+02
1.900000e-02 4.505706e+02 4.621829e+02
2.000000e-02 4.549237e+02 4.672344e+02
