# eps sigma_xx_cell0 sigma_vm_cell0
1.000000e-03 3.090729e+02 2.659617e+02
2.000000e-03 5.412301e+02 3.935095e+02
3.000000e-03 5.784958e+02 4.113979e+02
4.000000e-03 5.908395e+02 4.193940e+02
5.000000e-03 6.032095e+02 4.253332e+02
6.000000e-03 6.157140e+02 4.303841e+02
7.000000e-03 6.286711e+02 4.351029e+02
8.000000e-03 6.417650e+02 4.397041e+02
9.000000e-03 6.541264e+02 4.444794e+02
1.000000e-02 6.654216e+02 4.495347e+02
1.100000e-02 6.760275e+02 4.549125e+02
1.200000e-02 6.861663e+02 4.605060e+02
1.300000e-02 6.963747e+02 4.667157e+02
1.400000e-02 7.056745e+02 4.723630e+02
1.500000e-02 7.150567e+02 4.780177e+02
1.600000e-02 7.249025e+02 4.835681e+02
1.700000e-02 7.336274e+02 4.880793e+02
1.800000e-02 7.426220e+02 4.925395e+02
1.900000e-02 7.516564e+02 4.969777e+02
2.000000e-02 7.605685e+02 5.013336e+02
