# eps max_slip
1.000000e-03 3.851736e-04
2.000000e-03 2.846576e-03
3.000000e-03 5.026369e-03
4.000000e-03 7.893411e-03
5.000000e-03 1.174354e-02
6.000000e-03 1.553962e-02
7.000000e-03 1.914986e-02
8.000000e-03 2.261591e-02
9.000000e-03 2.600875e-02
1.000000e-02 2.934999e-02
1.100000e-02 3.262774e-02
1.200000e-02 3.585937e-02
1.300000e-02 3.905987e-02
1.400000e-02 4.223153e-02
1.500000e-02 4.537986e-02
1.600000e-02 4.851193e-02
1.700000e-02 5.162500e-02
1.800000e-02 5.474640e-02
1.900000e-02 5.796012e-02
2.000000e-02 6.116284e-02
