depth_um,force_mN,contact_area_um2,max_stress_MPa,volume_um3
0.100000,1.886500,0.245000,0.000000,0.001883
0.200000,15.092000,0.980000,0.000000,0.015063
0.300000,50.935500,2.205000,0.000000,0.050838
0.400000,120.736000,3.920000,0.000000,0.120504
0.500000,235.812500,6.125000,0.000000,0.235359
0.600000,407.484000,8.820000,0.000000,0.406701
0.700000,647.069500,12.005000,0.000000,0.645826
0.800000,965.888000,15.680000,0.000000,0.964032
0.900000,1375.258500,19.845000,0.000000,1.372615
1.000000,1886.500000,24.500000,0.000000,1.882874
1.100000,2510.931500,29.645000,0.000000,2.506106
1.200000,3259.872000,35.280000,0.000000,3.253607
1.300000,4144.640500,41.405000,0.000000,4.136675
1.400000,5176.556000,48.020000,0.000000,5.166607
1.500000,6366.937500,55.125000,0.000000,6.354701
