# Index Q0 Q1 Q2 Q3
0 -0.280198 0.167234 0.209404 0.921776
1 -0.939424 -0.111304 0.314856 0.077200
2 0.783616 0.249838 0.011682 0.568675
3 -0.946060 -0.132130 0.255241 0.149545
4 -0.541045 0.057239 0.314415 0.777905
5 -0.904496 -0.287482 0.291352 0.119812
6 -0.513907 0.015475 0.119144 0.849391
7 -0.453561 0.058904 0.288928 0.841031
8 -0.977579 -0.125371 0.169144 -0.003263
9 0.795952 0.250231 0.027036 0.550558
10 -0.259348 0.192588 0.225529 0.919122
11 -0.680399 0.050244 0.346832 0.643615
12 -0.947616 -0.187737 0.250797 0.062290
13 -0.316598 0.031930 0.192667 0.928238
14 -0.949875 -0.194748 0.241811 0.036570
15 0.224133 0.160380 0.099226 0.956136
16 0.478271 0.419524 0.080637 0.767303
17 -0.877180 -0.349588 0.218378 -0.246282
18 -0.229649 0.189410 0.241265 0.923675
19 -0.938660 -0.157368 0.202685 0.230371
20 -0.549636 0.033350 0.274801 0.788208
21 -0.379286 0.079146 0.248990 0.887627
22 0.840588 0.215747 -0.064051 0.492710
23 -0.554277 0.043226 0.305063 0.773204
24 -0.951827 -0.223536 0.143318 -0.153353
25 -0.539288 0.034025 0.225446 0.810670
26 -0.961423 -0.197165 0.169302 -0.090157
27 0.096258 0.279700 0.263785 0.918107
28 -0.087956 0.201535 0.287887 0.932078
29 -0.963373 -0.162921 0.207706 0.047185
30 -0.043023 0.184344 0.289198 0.938366
31 0.829198 0.167431 -0.057740 0.530154
32 -0.158594 0.099370 0.226276 0.955914
33 -0.100179 0.115011 0.234530 0.960069
34 -0.288516 0.187638 0.249736 0.905087
35 -0.918972 -0.302334 0.242827 -0.071557
36 0.632954 0.405053 0.047264 0.658078
37 0.922906 0.141267 -0.021690 0.357517
38 0.715784 0.356225 0.045381 0.598914
39 0.387629 0.318370 0.089091 0.860492
40 -0.494183 0.072083 0.316613 0.806439
41 0.794842 0.251395 0.025761 0.551691
42 -0.409511 0.061174 0.155266 0.896912
43 -0.457937 0.109705 0.316665 0.823396
44 0.580191 0.352711 0.008215 0.734102
45 -0.597591 -0.015534 0.273344 0.753609
46 -0.282657 0.138931 0.188456 0.930208
47 -0.920709 -0.054538 0.070833 0.379872
48 0.740649 0.302322 -0.019709 0.599709
49 0.001317 0.204050 0.276740 0.939030
50 -0.241657 0.029547 0.182970 0.952497
51 -0.559794 0.039966 0.338272 0.755384
52 -0.763577 0.045158 0.323716 0.556883
53 -0.231581 0.142495 0.316156 0.908907
54 0.043409 0.272726 0.190184 0.942107
55 -0.628876 0.016815 0.300656 0.716825
56 0.773280 0.171024 0.001965 0.610561
57 0.033560 0.221660 0.200602 0.953677
58 0.812597 0.153115 0.006816 0.562312
59 -0.603231 -0.010128 0.379745 0.701287
60 -0.945664 -0.198766 0.255435 0.031045
61 0.844281 0.153324 -0.074460 0.508071
62 -0.176261 0.083490 0.116377 0.973868
63 -0.297601 0.123221 0.170324 0.931257
64 0.685272 0.094074 0.019773 0.721915
65 -0.876290 -0.159867 0.241891 0.384769
66 -0.945248 -0.267623 0.165286 -0.086969
67 0.444230 0.355108 0.105770 0.815703
68 -0.920682 -0.201709 0.230965 0.241483
69 -0.951727 -0.109818 0.141365 -0.249344
70 -0.607317 0.083152 0.168914 0.771829
71 -0.615817 0.035730 0.403504 0.675779
72 -0.889271 -0.023418 0.233889 0.392358
73 -0.098857 0.165616 0.175500 0.965401
74 -0.020891 0.235465 0.221134 0.946160
75 -0.213976 0.069008 0.263413 0.938118
76 -0.273750 0.020296 0.164315 0.947444
77 0.715669 0.331765 -0.066609 0.610993
78 -0.232646 0.168906 0.345476 0.893304
79 0.525178 0.262826 0.082836 0.805139
80 0.384756 0.329249 0.117599 0.854242
81 -0.046470 0.227193 0.223409 0.946738
82 -0.032636 0.167972 0.290732 0.941379
83 -0.496629 0.020841 0.268841 0.825015
84 -0.284815 0.179907 0.264455 0.903647
85 0.090097 0.309324 0.195582 0.926255
86 -0.932716 -0.228561 0.225382 0.164327
87 -0.510841 0.143707 0.239035 0.813174
88 -0.351561 0.067144 0.260113 0.896793
89 -0.806058 -0.098212 0.237339 0.533194
90 -0.199202 0.178910 0.333912 0.903777
91 -0.398358 0.095471 0.411037 0.814398
92 0.023597 0.159360 0.116655 0.980020
93 -0.650965 -0.107971 0.171256 0.731613
94 -0.445137 0.083118 0.173627 0.874528
95 -0.785962 -0.077955 0.153730 0.593763
96 -0.041220 0.246160 0.243488 0.937240
97 -0.688910 -0.058682 0.177318 0.700369
98 -0.479558 0.029724 0.117942 0.869040
99 0.418800 0.380058 0.087399 0.820075
100 -0.416933 0.011534 0.188391 0.889125
101 -0.566989 -0.115795 0.265479 0.771127
102 -0.173749 0.142438 0.292385 0.929534
103 -0.547902 0.007129 0.291273 0.784163
104 -0.987428 -0.084180 0.133768 0.002312
105 -0.939807 -0.161092 0.275344 0.122466
106 0.329583 0.306405 0.151122 0.880144
107 0.582294 0.173666 0.061951 0.791793
108 -0.213784 0.060370 0.135114 0.965607
109 -0.907246 -0.198212 0.294487 0.225598
110 0.308730 0.361029 0.126520 0.870825
111 -0.171332 0.165580 0.188895 0.952653
112 -0.301136 0.025049 0.330655 0.894068
113 -0.612195 0.056494 0.357977 0.702765
114 -0.922017 -0.139851 0.287542 0.218277
115 -0.645839 -0.034134 0.403884 0.646996
116 -0.701593 -0.032147 0.270780 0.658340
117 -0.946629 -0.231257 0.224489 -0.004262
118 -0.963370 -0.154090 0.141538 0.167752
119 -0.334891 0.106597 0.379864 0.855680
120 -0.895173 -0.190207 0.309879 0.257800
121 -0.608730 0.013508 0.440326 0.659832
122 -0.927696 -0.257796 0.243827 -0.116060
123 -0.326314 0.105616 0.218268 0.913632
124 -0.823494 -0.080707 0.225087 0.514470
125 -0.938828 -0.188309 0.218728 -0.187884
126 0.817462 0.236599 -0.032095 0.524163
127 -0.328272 0.086909 0.148904 0.928715
128 -0.940249 -0.194145 0.191892 0.203512
129 -0.908729 -0.182426 0.241615 0.287322
130 -0.972228 -0.057632 0.093651 0.206591
131 -0.467515 0.098151 0.251028 0.841892
132 -0.122393 0.143071 0.142304 0.971751
133 -0.448111 0.004431 0.281571 0.848466
134 -0.688060 0.009057 0.305199 0.658289
135 0.501940 0.069044 -0.008423 0.862101
136 -0.955593 0.011844 0.170234 0.240255
137 -0.962551 -0.056573 0.130864 0.230584
138 -0.928300 -0.206608 0.221889 -0.215260
139 -0.618791 -0.007685 0.355726 0.700355
140 0.709186 0.338953 0.090917 0.611474
141 -0.382788 0.067395 0.323547 0.862698
142 -0.958801 -0.121575 0.225829 -0.122156
143 -0.501003 0.064918 0.305273 0.807211
144 -0.075129 0.225367 0.149272 0.959835
145 0.607837 0.165076 0.052698 0.774924
146 -0.951712 0.019445 0.212649 0.220562
147 0.728199 0.417449 -0.040722 0.542038
148 -0.112965 0.212662 0.188856 0.952023
149 -0.931313 -0.089296 0.147978 0.320599
150 0.142292 0.209267 0.217405 0.942706
151 -0.829004 -0.025932 0.270679 0.488684
152 -0.445345 0.086996 0.258243 0.852884
153 -0.793582 -0.037905 0.180170 0.579939
154 -0.812604 -0.117371 0.335943 0.461564
155 0.776333 0.258732 0.023932 0.574276
156 0.685530 0.278471 0.072470 0.668768
157 -0.479388 0.147679 0.244248 0.829892
158 -0.048915 0.183573 0.180113 0.965126
159 -0.843341 -0.101654 0.141263 0.508416
160 -0.990349 -0.120474 0.065988 0.018442
161 -0.773007 0.044974 0.229118 0.589867
162 -0.267516 0.139497 0.212396 0.929443
163 0.284640 0.204392 0.265708 0.898111
164 -0.850055 0.050925 0.342522 0.396852
165 -0.924139 -0.294075 0.241257 0.035820
166 -0.373131 0.013606 0.286166 0.882438
167 0.406701 0.388772 0.165518 0.809972
168 0.087725 0.218653 0.220839 0.946428
169 0.204892 0.216179 0.088122 0.950537
170 0.653790 0.299597 0.110494 0.685996
171 -0.362182 0.022756 0.325539 0.873116
172 0.822595 0.170448 -0.035281 0.541331
173 -0.237980 0.231066 0.193815 0.923260
174 0.362372 0.241415 0.165974 0.884793
175 -0.899677 -0.154698 0.119381 0.390383
176 0.898856 0.172362 -0.009505 0.402814
177 -0.684656 -0.002517 0.116544 0.719484
178 0.026617 0.055811 0.059361 0.996320
179 -0.649885 -0.020314 0.288088 0.703023
180 0.057711 0.325626 0.267974 0.904890
181 -0.966198 -0.065680 0.246204 -0.039139
182 -0.626864 0.022941 0.425860 0.652042
183 -0.946098 -0.187900 0.237698 -0.114417
184 0.780155 0.385207 -0.012293 0.492769
185 -0.145677 0.130436 0.103920 0.975174
186 -0.086777 0.113440 0.130818 0.981065
187 -0.498320 0.074000 0.181929 0.844454
188 -0.961092 -0.121679 0.081707 0.234139
189 0.503713 0.138997 0.035099 0.851892
190 -0.130229 0.243489 0.216004 0.936534
191 0.146516 0.375021 0.226130 0.886993
192 0.634577 0.259084 0.119126 0.718329
193 0.810758 0.306163 -0.070869 0.493876
194 0.258909 0.069656 0.072296 0.960670
195 0.691115 0.366164 -0.020944 0.622772
196 -0.294151 0.077309 0.108029 0.946482
197 -0.934557 -0.218304 0.179902 0.215830
198 -0.205106 0.155394 0.283154 0.923909
199 0.031218 0.110340 0.068662 0.991028
200 -0.439750 0.004560 0.287204 0.850949
201 0.528739 0.185905 0.048219 0.826770
202 -0.881828 -0.007262 0.093051 0.462242
203 -0.205555 0.219620 0.248981 0.920610
204 -0.983201 -0.111541 0.141118 0.030998
205 -0.150804 0.061849 0.127163 0.978398
206 -0.983987 -0.091942 0.083848 0.127619
207 0.137435 0.168764 0.153099 0.963946
208 -0.926185 -0.009735 0.107700 0.361230
209 -0.941122 -0.068467 0.103046 0.314617
210 -0.960843 -0.081374 0.264395 -0.015944
211 -0.480293 0.027025 0.405096 0.777487
212 -0.961716 -0.065706 0.090699 -0.250116
213 -0.914617 -0.096743 0.073127 0.385706
214 0.914377 0.101917 0.006465 0.391774
215 0.668813 0.387193 -0.006279 0.634612
216 0.569116 0.126117 -0.002745 0.812524
217 0.571016 0.320002 0.036651 0.755113
218 -0.940604 -0.254269 0.195300 -0.111664
219 -0.977355 -0.073745 0.120998 0.157157
220 0.132591 0.370615 0.203671 0.896427
221 -0.353901 0.010505 0.301565 0.885270
222 0.786520 0.156363 -0.019886 0.597111
223 -0.928996 -0.262571 0.260733 0.006336
224 -0.323859 0.038645 0.071505 0.942608
225 -0.170200 0.022232 0.108651 0.979149
226 -0.034678 0.084494 0.039640 0.995031
227 0.002710 0.112225 0.203781 0.972559
228 -0.043592 0.146846 0.163909 0.974510
229 -0.321148 0.212901 0.319394 0.865751
230 0.615579 0.246371 0.086975 0.743504
231 -0.607177 -0.011442 0.381319 0.696994
232 0.788555 0.099262 -0.029569 0.606180
233 0.780077 0.216997 0.051901 0.584550
234 -0.104758 0.158121 0.240366 0.951970
235 -0.356463 0.145820 0.233499 0.892832
236 -0.151361 0.053860 0.126553 0.978863
237 -0.284782 0.088357 0.088266 0.950422
238 -0.956258 -0.095917 0.242814 -0.131953
239 -0.315422 0.057858 0.174755 0.930925
240 -0.998866 -0.021325 0.036790 -0.021391
241 -0.947968 -0.207733 0.235092 0.054180
242 0.142878 0.254203 0.065376 0.954302
243 -0.912949 -0.257192 0.289633 0.128407
244 0.797171 0.300978 -0.057769 0.520187
245 -0.178782 0.143453 0.232400 0.945224
246 0.002688 0.167987 0.150031 0.974302
247 -0.240684 0.139636 0.257349 0.925389
248 -0.141332 0.162349 0.255339 0.942587
249 -0.528623 0.047167 0.316242 0.786336
250 -0.893613 -0.205387 0.305752 0.256493
251 -0.729470 -0.016214 0.361361 0.580542
252 -0.963697 -0.199133 0.177664 0.008301
253 -0.848934 -0.097961 0.234602 0.463332
254 -0.470968 0.098685 0.369611 0.794883
255 -0.726249 0.062597 0.119214 0.674115
256 0.665228 0.211532 0.067021 0.712906
257 -0.292391 0.095770 0.266789 0.913323
258 0.272913 0.356395 0.186378 0.873936
259 -0.281177 0.145113 0.308772 0.896962
260 -0.856376 0.002643 0.097362 0.507084
261 -0.638851 0.055172 0.303304 0.704863
262 -0.665891 0.002997 0.437418 0.604355
263 -0.022005 0.056930 0.111545 0.991883
264 -0.026164 0.254708 0.320588 0.911955
265 0.026393 0.063661 0.053228 0.996201
266 0.538960 0.209052 0.045202 0.814724
267 -0.092152 0.191607 0.201581 0.956117
268 0.120517 0.178755 0.118476 0.969271
269 -0.074592 0.100626 0.134469 0.982969
270 -0.403852 -0.001397 0.260808 0.876859
271 -0.950718 -0.197004 0.150787 0.185981
272 -0.912290 -0.203182 0.299268 0.192049
273 -0.955336 -0.165052 0.242903 -0.033013
274 -0.562578 0.084109 0.387621 0.725384
275 -0.927154 -0.112563 0.240419 0.264412
276 0.703023 0.122068 -0.053326 0.698580
277 -0.351209 0.012201 0.168409 0.920946
278 0.218615 0.269059 0.148240 0.926197
279 0.045054 0.180835 0.179207 0.965999
280 0.104422 0.296526 0.207853 0.926264
281 -0.337759 0.081759 0.163042 0.923392
282 0.875405 0.257399 -0.027524 0.408233
283 -0.861741 -0.223067 0.343404 0.299528
284 -0.864765 -0.166217 0.250352 0.402340
285 -0.864024 -0.152099 0.263433 0.401163
286 0.754045 0.357797 0.044663 0.549002
287 -0.740722 0.015090 0.083919 0.666379
288 -0.234540 0.212741 0.279533 0.906418
289 -0.148055 0.157888 0.217171 0.951834
290 -0.593964 -0.002453 0.348532 0.725070
291 0.825948 0.219435 0.039700 0.517767
292 -0.199080 0.219408 0.339336 0.892792
293 0.034675 0.086140 0.146142 0.984896
294 0.333912 0.391146 0.148596 0.844646
295 -0.504090 0.054757 0.317641 0.801248
296 -0.394221 0.118621 0.099582 0.905871
297 -0.919775 -0.142311 0.287414 0.226173
298 0.088085 0.228387 0.183620 0.952031
299 0.755132 0.136786 -0.008160 0.641091
300 0.603864 0.276925 0.006283 0.747410
301 -0.460891 0.054678 0.278347 0.840900
302 -0.931615 -0.105442 0.192673 0.289574
303 -0.824577 -0.211608 0.272819 0.448180
304 -0.181675 0.166874 0.267675 0.931395
305 -0.866119 -0.051171 0.279282 0.411365
306 0.000105 0.069380 0.057664 0.995922
307 -0.136026 0.196030 0.251523 0.937979
308 0.223510 0.219270 0.155876 0.936839
309 -0.703255 -0.003238 0.213139 0.678228
310 0.305609 0.258197 -0.019693 0.916270
311 -0.724083 -0.014813 0.193600 0.661818
312 -0.753298 -0.095121 0.239185 0.605215
313 -0.048666 0.241132 0.266813 0.931825
314 -0.126605 0.177699 0.259128 0.940876
315 0.003957 0.075000 0.147538 0.986201
316 -0.728653 -0.034899 0.224884 0.645967
317 -0.995765 -0.023136 0.083085 0.031844
318 -0.696919 -0.043230 0.277051 0.660059
319 0.967476 0.195929 -0.009396 0.159730
320 -0.685050 -0.010887 0.346912 0.640501
321 -0.307758 0.236130 0.295892 0.872912
322 -0.850383 -0.058896 0.282286 0.440108
323 -0.637413 0.045088 0.318174 0.700313
324 -0.031624 0.177220 0.229899 0.956420
325 -0.493558 0.027383 0.070326 0.866432
326 0.258993 0.099418 0.078298 0.957553
327 -0.241883 0.259479 0.224968 0.907498
328 0.678243 0.234703 0.130082 0.684090
329 -0.211114 0.233375 0.219384 0.923492
330 -0.674691 0.055389 0.280851 0.680328
331 -0.853876 -0.035588 0.307087 0.418720
332 -0.307148 0.050959 0.199945 0.929024
333 -0.845250 -0.072979 0.068216 0.524951
334 0.058694 0.264697 0.222792 0.936405
335 -0.890033 -0.207986 0.232034 0.332782
336 -0.576498 -0.089383 0.207371 0.785276
337 -0.737885 -0.009486 0.265826 0.620300
338 0.901312 0.248751 0.027808 0.353535
339 0.710630 0.183294 0.034393 0.678400
340 -0.907539 -0.187999 0.242475 0.286768
341 0.745583 0.269290 -0.045097 0.607910
342 -0.954065 -0.177681 0.221835 0.094760
343 0.750460 0.366164 -0.054685 0.547489
344 -0.167184 0.203228 0.272180 0.925562
345 0.081188 0.257041 0.250058 0.929951
346 0.863039 0.233357 0.019762 0.447568
347 0.665227 0.357297 0.005081 0.655580
348 -0.338856 0.124309 0.102218 0.926971
349 -0.012385 0.236011 0.171978 0.956331
350 -0.405018 -0.007906 0.179848 0.896411
351 -0.321296 0.125230 0.343466 0.873566
352 -0.936255 -0.100932 0.271661 0.198593
353 -0.883733 -0.024913 0.221167 0.411679
354 -0.088224 0.160419 0.256272 0.949109
355 -0.914255 -0.000144 0.240703 0.325882
356 -0.925313 -0.237741 0.276859 0.103071
357 -0.938678 -0.242073 0.238469 -0.058452
358 0.644969 0.190484 0.017399 0.739884
359 0.003778 0.068415 0.038325 0.996913
360 -0.649528 0.104969 0.293745 0.693404
361 -0.772041 -0.111045 0.165587 0.603492
362 -0.946055 -0.255436 0.199021 -0.011082
363 -0.463096 -0.038070 0.224961 0.856438
364 -0.021491 0.091801 0.204952 0.974221
365 -0.264636 0.161708 0.306000 0.900101
366 -0.288881 0.122387 0.220961 0.923442
367 -0.803784 -0.138515 0.376880 0.438983
368 0.077443 0.307572 0.154576 0.935686
