# step penetration_um vm_avg vm_max
1.000000e+00 1.333333e-01 1.628470e-03 1.176325e+00
2.000000e+00 2.666667e-01 3.256853e-03 2.352580e+00
3.000000e+00 4.000000e-01 4.885148e-03 3.528766e+00
4.000000e+00 5.333333e-01 6.513355e-03 4.704883e+00
5.000000e+00 6.666667e-01 8.141474e-03 5.880930e+00
6.000000e+00 8.000000e-01 9.769506e-03 7.056908e+00
7.000000e+00 9.333333e-01 1.139745e-02 8.232817e+00
8.000000e+00 1.066667e+00 1.302531e-02 9.408657e+00
9.000000e+00 1.200000e+00 1.465308e-02 1.058443e+01
1.000000e+01 1.333333e+00 1.628076e-02 1.176013e+01
1.100000e+01 1.466667e+00 1.790835e-02 1.293576e+01
1.200000e+01 1.600000e+00 1.953586e-02 1.411132e+01
1.300000e+01 1.733333e+00 2.116328e-02 1.528682e+01
1.400000e+01 1.866667e+00 2.279061e-02 1.646224e+01
1.500000e+01 2.000000e+00 2.441785e-02 1.763760e+01
