# step penetration_um force vm_avg vm_max vm_min vm_std vm_contact_avg vm_contact_max nb_contact_cells
1.000000e+00 2.500000e-01 3.595151e+01 3.053310e-03 2.205552e+00 3.938717e-06 3.560788e-02 2.205549e+00 2.205552e+00 4.000000e+00
2.000000e+00 5.000000e-01 7.189822e+01 6.106311e-03 4.410860e+00 7.876864e-06 7.121214e-02 4.410854e+00 4.410860e+00 4.000000e+00
3.000000e+00 7.500000e-01 1.078401e+02 9.159005e-03 6.615925e+00 1.181444e-05 1.068128e-01 6.615916e+00 6.615925e+00 4.000000e+00
4.000000e+00 1.000000e+00 1.437772e+02 1.221139e-02 8.820746e+00 1.575145e-05 1.424098e-01 8.820734e+00 8.820746e+00 4.000000e+00
5.000000e+00 1.250000e+00 1.797095e+02 1.526347e-02 1.102532e+01 1.968788e-05 1.780032e-01 1.102531e+01 1.102532e+01 4.000000e+00
6.000000e+00 1.500000e+00 2.156370e+02 1.831524e-02 1.322966e+01 2.362376e-05 2.135930e-01 1.322964e+01 1.322966e+01 4.000000e+00
7.000000e+00 1.750000e+00 2.515597e+02 2.136670e-02 1.543375e+01 2.755906e-05 2.491791e-01 1.543373e+01 1.543375e+01 4.000000e+00
8.000000e+00 2.000000e+00 2.874776e+02 2.441785e-02 1.763760e+01 3.149378e-05 2.847617e-01 1.763757e+01 1.763760e+01 4.000000e+00
9.000000e+00 2.250000e+00 3.233906e+02 2.746870e-02 1.984120e+01 3.542794e-05 3.203406e-01 1.984118e+01 1.984120e+01 4.000000e+00
1.000000e+01 2.500000e+00 3.592989e+02 3.051924e-02 2.204456e+01 3.936153e-05 3.559159e-01 2.204454e+01 2.204456e+01 4.000000e+00
1.100000e+01 2.750000e+00 3.952024e+02 3.356947e-02 2.424768e+01 4.329454e-05 3.914876e-01 2.424765e+01 2.424768e+01 4.000000e+00
1.200000e+01 3.000000e+00 4.311011e+02 3.661940e-02 2.645056e+01 4.722699e-05 4.270557e-01 2.645052e+01 2.645056e+01 4.000000e+00
1.300000e+01 3.250000e+00 4.669950e+02 3.966901e-02 2.865319e+01 5.115887e-05 4.626202e-01 2.865316e+01 2.865319e+01 4.000000e+00
1.400000e+01 3.500000e+00 5.028841e+02 4.271832e-02 3.085558e+01 5.509018e-05 4.981811e-01 3.085554e+01 3.085558e+01 4.000000e+00
1.500000e+01 3.750000e+00 5.387684e+02 4.576733e-02 3.305773e+01 5.902091e-05 5.337384e-01 3.305769e+01 3.305773e+01 4.000000e+00
1.600000e+01 4.000000e+00 5.746479e+02 4.881602e-02 3.525964e+01 6.295109e-05 5.692921e-01 3.525959e+01 3.525964e+01 4.000000e+00
1.700000e+01 4.250000e+00 6.105226e+02 5.186441e-02 3.746130e+01 6.688068e-05 6.048421e-01 3.746125e+01 3.746130e+01 4.000000e+00
1.800000e+01 4.500000e+00 6.463926e+02 5.491249e-02 3.966272e+01 7.080972e-05 6.403886e-01 3.966267e+01 3.966272e+01 4.000000e+00
1.900000e+01 4.750000e+00 6.822577e+02 5.796027e-02 4.186390e+01 7.473819e-05 6.759315e-01 4.186385e+01 4.186390e+01 4.000000e+00
2.000000e+01 5.000000e+00 7.181181e+02 6.100774e-02 4.406484e+01 7.866608e-05 7.114707e-01 4.406478e+01 4.406484e+01 4.000000e+00
2.100000e+01 5.250000e+00 7.539736e+02 6.405490e-02 4.626553e+01 8.259340e-05 7.470064e-01 4.626547e+01 4.626553e+01 4.000000e+00
2.200000e+01 5.500000e+00 7.898244e+02 6.710175e-02 4.846598e+01 8.652016e-05 7.825385e-01 4.846592e+01 4.846598e+01 4.000000e+00
2.300000e+01 5.750000e+00 8.256704e+02 7.014830e-02 5.066619e+01 9.044635e-05 8.180670e-01 5.066613e+01 5.066619e+01 4.000000e+00
2.400000e+01 6.000000e+00 8.615116e+02 7.319454e-02 5.286616e+01 9.437197e-05 8.535918e-01 5.286609e+01 5.286616e+01 4.000000e+00
2.500000e+01 6.250000e+00 8.973451e+02 7.624024e-02 5.506593e+01 9.829667e-05 8.891108e-01 5.506569e+01 5.506593e+01 4.000000e+00
