# penetration_um force_N
2.500000e-01 3.595151e+01
5.000000e-01 7.189822e+01
7.500000e-01 1.078401e+02
1.000000e+00 1.437772e+02
1.250000e+00 1.797095e+02
1.500000e+00 2.156370e+02
1.750000e+00 2.515597e+02
2.000000e+00 2.874776e+02
2.250000e+00 3.233906e+02
2.500000e+00 3.592989e+02
2.750000e+00 3.952024e+02
3.000000e+00 4.311011e+02
3.250000e+00 4.669950e+02
3.500000e+00 5.028841e+02
3.750000e+00 5.387684e+02
4.000000e+00 5.746479e+02
4.250000e+00 6.105226e+02
4.500000e+00 6.463926e+02
4.750000e+00 6.822577e+02
5.000000e+00 7.181181e+02
5.250000e+00 7.539736e+02
5.500000e+00 7.898244e+02
5.750000e+00 8.256704e+02
6.000000e+00 8.615116e+02
6.250000e+00 8.973451e+02
6.500000e+00 9.329572e+02
6.750000e+00 9.672363e+02
7.000000e+00 1.000026e+03
7.250000e+00 1.030389e+03
7.500000e+00 1.059225e+03
7.750000e+00 1.087612e+03
8.000000e+00 1.115332e+03
8.250000e+00 1.142131e+03
8.500000e+00 1.168475e+03
8.750000e+00 1.194456e+03
9.000000e+00 1.220093e+03
9.250000e+00 1.245231e+03
9.500000e+00 1.269543e+03
9.750000e+00 1.292812e+03
1.000000e+01 1.314591e+03
