# penetration_um max_slip avg_slip
2.500000e-01 1.702715e-175 8.215996e-182
5.000000e-01 2.258884e-139 1.089966e-145
7.500000e-01 3.047878e-118 1.470675e-124
1.000000e+00 2.990875e-103 1.443172e-109
1.250000e+00 1.271018e-91 6.132987e-98
1.500000e+00 4.027664e-82 1.943453e-88
1.750000e+00 4.343299e-74 2.095757e-80
2.000000e+00 3.944618e-67 1.903385e-73
2.250000e+00 5.413264e-61 2.612049e-67
2.500000e+00 1.673055e-55 8.072962e-62
2.750000e+00 1.548056e-50 7.469815e-57
3.000000e+00 5.291427e-46 2.553268e-52
3.250000e+00 7.837775e-42 3.781960e-48
3.500000e+00 5.695550e-38 2.748275e-44
3.750000e+00 2.240388e-34 1.081056e-40
4.000000e+00 5.164142e-31 2.491861e-37
4.250000e+00 7.442754e-28 3.591366e-34
4.500000e+00 7.077321e-25 3.415037e-31
4.750000e+00 4.644673e-22 2.241208e-28
5.000000e+00 2.185413e-19 1.054535e-25
5.250000e+00 7.615923e-17 3.674943e-23
5.500000e+00 2.021478e-14 9.754333e-21
5.750000e+00 4.186961e-12 2.020356e-18
6.000000e+00 6.911548e-10 3.335069e-16
6.250000e+00 9.215608e-08 4.446880e-14
6.500000e+00 6.989558e-06 3.373683e-12
6.750000e+00 5.510575e-05 2.686519e-11
7.000000e+00 1.305464e-04 7.351020e-11
7.250000e+00 2.142905e-04 1.593296e-10
7.500000e+00 3.007210e-04 2.700053e-10
7.750000e+00 3.879247e-04 3.880302e-10
8.000000e+00 4.754284e-04 5.180823e-10
8.250000e+00 5.631724e-04 6.650017e-10
8.500000e+00 6.510882e-04 8.203757e-10
8.750000e+00 7.392070e-04 9.827818e-10
9.000000e+00 8.275681e-04 1.152028e-09
9.250000e+00 9.166046e-04 1.331766e-09
9.500000e+00 1.007032e-03 1.529188e-09
9.750000e+00 1.099207e-03 1.749625e-09
1.000000e+01 1.193706e-03 2.003552e-09
