# step penetration_um vm_avg vm_max vm_contact_avg vm_contact_max
1.000000e+00 2.500000e-01 3.053310e-03 2.205552e+00 2.205549e+00 2.205552e+00
2.000000e+00 5.000000e-01 6.106311e-03 4.410860e+00 4.410854e+00 4.410860e+00
3.000000e+00 7.500000e-01 9.159005e-03 6.615925e+00 6.615916e+00 6.615925e+00
4.000000e+00 1.000000e+00 1.221139e-02 8.820746e+00 8.820734e+00 8.820746e+00
5.000000e+00 1.250000e+00 1.526347e-02 1.102532e+01 1.102531e+01 1.102532e+01
6.000000e+00 1.500000e+00 1.831524e-02 1.322966e+01 1.322964e+01 1.322966e+01
7.000000e+00 1.750000e+00 2.136670e-02 1.543375e+01 1.543373e+01 1.543375e+01
8.000000e+00 2.000000e+00 2.441785e-02 1.763760e+01 1.763757e+01 1.763760e+01
9.000000e+00 2.250000e+00 2.746870e-02 1.984120e+01 1.984118e+01 1.984120e+01
1.000000e+01 2.500000e+00 3.051924e-02 2.204456e+01 2.204454e+01 2.204456e+01
1.100000e+01 2.750000e+00 3.356947e-02 2.424768e+01 2.424765e+01 2.424768e+01
1.200000e+01 3.000000e+00 3.661940e-02 2.645056e+01 2.645052e+01 2.645056e+01
1.300000e+01 3.250000e+00 3.966901e-02 2.865319e+01 2.865316e+01 2.865319e+01
1.400000e+01 3.500000e+00 4.271832e-02 3.085558e+01 3.085554e+01 3.085558e+01
1.500000e+01 3.750000e+00 4.576733e-02 3.305773e+01 3.305769e+01 3.305773e+01
1.600000e+01 4.000000e+00 4.881602e-02 3.525964e+01 3.525959e+01 3.525964e+01
1.700000e+01 4.250000e+00 5.186441e-02 3.746130e+01 3.746125e+01 3.746130e+01
1.800000e+01 4.500000e+00 5.491249e-02 3.966272e+01 3.966267e+01 3.966272e+01
1.900000e+01 4.750000e+00 5.796027e-02 4.186390e+01 4.186385e+01 4.186390e+01
2.000000e+01 5.000000e+00 6.100774e-02 4.406484e+01 4.406478e+01 4.406484e+01
2.100000e+01 5.250000e+00 6.405490e-02 4.626553e+01 4.626547e+01 4.626553e+01
2.200000e+01 5.500000e+00 6.710175e-02 4.846598e+01 4.846592e+01 4.846598e+01
2.300000e+01 5.750000e+00 7.014830e-02 5.066619e+01 5.066613e+01 5.066619e+01
2.400000e+01 6.000000e+00 7.319454e-02 5.286616e+01 5.286609e+01 5.286616e+01
2.500000e+01 6.250000e+00 7.624024e-02 5.506593e+01 5.506569e+01 5.506593e+01
2.600000e+01 6.500000e+00 7.926787e-02 5.726836e+01 5.725533e+01 5.726836e+01
2.700000e+01 6.750000e+00 8.218648e-02 5.948484e+01 5.938517e+01 5.948484e+01
2.800000e+01 7.000000e+00 8.498930e-02 6.168439e+01 6.144503e+01 6.168439e+01
2.900000e+01 7.250000e+00 8.761699e-02 6.389728e+01 6.338332e+01 6.389728e+01
3.000000e+01 7.500000e+00 9.013664e-02 6.613306e+01 6.524441e+01 6.613306e+01
3.100000e+01 7.750000e+00 9.262442e-02 6.836369e+01 6.708369e+01 6.836369e+01
3.200000e+01 8.000000e+00 9.505670e-02 7.048520e+01 6.889451e+01 7.048520e+01
3.300000e+01 8.250000e+00 9.741127e-02 7.243904e+01 7.066625e+01 7.243904e+01
3.400000e+01 8.500000e+00 9.973089e-02 7.431534e+01 7.241728e+01 7.431534e+01
3.500000e+01 8.750000e+00 1.020288e-01 7.613655e+01 7.414819e+01 7.613655e+01
3.600000e+01 9.000000e+00 1.043080e-01 7.791013e+01 7.585862e+01 7.791013e+01
3.700000e+01 9.250000e+00 1.065519e-01 7.965781e+01 7.753935e+01 7.965781e+01
3.800000e+01 9.500000e+00 1.087302e-01 8.139493e+01 7.917250e+01 8.139493e+01
3.900000e+01 9.750000e+00 1.108198e-01 8.312671e+01 8.075416e+01 8.312671e+01
4.000000e+01 1.000000e+01 1.127774e-01 8.485543e+01 8.226802e+01 8.485543e+01
