# step penetration_um force vm_avg vm_max vm_min vm_std vm_contact_avg vm_contact_max nb_contact_cells
1.000000e+00 1.000000e-01 1.438118e+01 1.221361e-03 8.822500e-01 1.575559e-06 1.424359e-02 8.822488e-01 8.822500e-01 4.000000e+00
2.000000e+00 2.000000e-01 2.876160e+01 2.442672e-03 1.764461e+00 3.151021e-06 2.848659e-02 1.764459e+00 1.764461e+00 4.000000e+00
3.000000e+00 3.000000e-01 4.314124e+01 3.663935e-03 2.646633e+00 4.726394e-06 4.272902e-02 2.646630e+00 2.646633e+00 4.000000e+00
4.000000e+00 4.000000e-01 5.752012e+01 4.885148e-03 3.528766e+00 6.301674e-06 5.697087e-02 3.528761e+00 3.528766e+00 4.000000e+00
5.000000e+00 5.000000e-01 7.189822e+01 6.106311e-03 4.410860e+00 7.876869e-06 7.121214e-02 4.410854e+00 4.410860e+00 4.000000e+00
6.000000e+00 6.000000e-01 8.627556e+01 7.327425e-03 5.292915e+00 9.451966e-06 8.545283e-02 5.292908e+00 5.292915e+00 4.000000e+00
7.000000e+00 7.000000e-01 1.006521e+02 8.548491e-03 6.174931e+00 1.102697e-05 9.969294e-02 6.174923e+00 6.174931e+00 4.000000e+00
8.000000e+00 8.000000e-01 1.150279e+02 9.769506e-03 7.056908e+00 1.260189e-05 1.139325e-01 7.056899e+00 7.056908e+00 4.000000e+00
9.000000e+00 9.000000e-01 1.294030e+02 1.099047e-02 7.938847e+00 1.417671e-05 1.281714e-01 7.938836e+00 7.938847e+00 4.000000e+00
1.000000e+01 1.000000e+00 1.437772e+02 1.221139e-02 8.820746e+00 1.575145e-05 1.424098e-01 8.820734e+00 8.820746e+00 4.000000e+00
1.100000e+01 1.100000e+00 1.581507e+02 1.343226e-02 9.702606e+00 1.732609e-05 1.566476e-01 9.702594e+00 9.702606e+00 4.000000e+00
1.200000e+01 1.200000e+00 1.725234e+02 1.465308e-02 1.058443e+01 1.890065e-05 1.708848e-01 1.058441e+01 1.058443e+01 4.000000e+00
1.300000e+01 1.300000e+00 1.868954e+02 1.587385e-02 1.146621e+01 2.047510e-05 1.851214e-01 1.146619e+01 1.146621e+01 4.000000e+00
1.400000e+01 1.400000e+00 2.012666e+02 1.709457e-02 1.234795e+01 2.204948e-05 1.993575e-01 1.234794e+01 1.234795e+01 4.000000e+00
1.500000e+01 1.500000e+00 2.156370e+02 1.831524e-02 1.322966e+01 2.362375e-05 2.135930e-01 1.322964e+01 1.322966e+01 4.000000e+00
1.600000e+01 1.600000e+00 2.300066e+02 1.953586e-02 1.411132e+01 2.519794e-05 2.278279e-01 1.411131e+01 1.411132e+01 4.000000e+00
1.700000e+01 1.700000e+00 2.443755e+02 2.075643e-02 1.499295e+01 2.677204e-05 2.420622e-01 1.499293e+01 1.499295e+01 4.000000e+00
1.800000e+01 1.800000e+00 2.587436e+02 2.197695e-02 1.587454e+01 2.834604e-05 2.562959e-01 1.587452e+01 1.587454e+01 4.000000e+00
1.900000e+01 1.900000e+00 2.731110e+02 2.319743e-02 1.675609e+01 2.991996e-05 2.705291e-01 1.675607e+01 1.675609e+01 4.000000e+00
2.000000e+01 2.000000e+00 2.874776e+02 2.441785e-02 1.763760e+01 3.149378e-05 2.847617e-01 1.763757e+01 1.763760e+01 4.000000e+00
2.100000e+01 2.100000e+00 3.018434e+02 2.563823e-02 1.851907e+01 3.306750e-05 2.989937e-01 1.851904e+01 1.851907e+01 4.000000e+00
2.200000e+01 2.200000e+00 3.162084e+02 2.685856e-02 1.940050e+01 3.464115e-05 3.132251e-01 1.940048e+01 1.940050e+01 4.000000e+00
2.300000e+01 2.300000e+00 3.305727e+02 2.807883e-02 2.028189e+01 3.621470e-05 3.274560e-01 2.028187e+01 2.028189e+01 4.000000e+00
2.400000e+01 2.400000e+00 3.449362e+02 2.929906e-02 2.116325e+01 3.778816e-05 3.416862e-01 2.116322e+01 2.116325e+01 4.000000e+00
2.500000e+01 2.500000e+00 3.592989e+02 3.051924e-02 2.204456e+01 3.936153e-05 3.559159e-01 2.204454e+01 2.204456e+01 4.000000e+00
2.600000e+01 2.600000e+00 3.736609e+02 3.173937e-02 2.292584e+01 4.093480e-05 3.701451e-01 2.292581e+01 2.292584e+01 4.000000e+00
2.700000e+01 2.700000e+00 3.880221e+02 3.295945e-02 2.380708e+01 4.250798e-05 3.843736e-01 2.380705e+01 2.380708e+01 4.000000e+00
2.800000e+01 2.800000e+00 4.023825e+02 3.417948e-02 2.468828e+01 4.408108e-05 3.986016e-01 2.468825e+01 2.468828e+01 4.000000e+00
2.900000e+01 2.900000e+00 4.167422e+02 3.539946e-02 2.556944e+01 4.565408e-05 4.128289e-01 2.556940e+01 2.556944e+01 4.000000e+00
