# penetration_um force_N
1.000000e-01 1.438118e+01
2.000000e-01 2.876160e+01
3.000000e-01 4.314124e+01
4.000000e-01 5.752012e+01
5.000000e-01 7.189822e+01
6.000000e-01 8.627556e+01
7.000000e-01 1.006521e+02
8.000000e-01 1.150279e+02
9.000000e-01 1.294030e+02
1.000000e+00 1.437772e+02
1.100000e+00 1.581507e+02
1.200000e+00 1.725234e+02
1.300000e+00 1.868954e+02
1.400000e+00 2.012666e+02
1.500000e+00 2.156370e+02
1.600000e+00 2.300066e+02
1.700000e+00 2.443755e+02
1.800000e+00 2.587436e+02
1.900000e+00 2.731110e+02
2.000000e+00 2.874776e+02
2.100000e+00 3.018434e+02
2.200000e+00 3.162084e+02
2.300000e+00 3.305727e+02
2.400000e+00 3.449362e+02
2.500000e+00 3.592989e+02
2.600000e+00 3.736609e+02
2.700000e+00 3.880221e+02
2.800000e+00 4.023825e+02
2.900000e+00 4.167422e+02
3.000000e+00 4.311011e+02
3.100000e+00 4.454592e+02
3.200000e+00 4.598166e+02
3.300000e+00 4.741732e+02
3.400000e+00 4.885290e+02
3.500000e+00 5.028841e+02
3.600000e+00 5.172384e+02
3.700000e+00 5.315919e+02
3.800000e+00 5.459447e+02
3.900000e+00 5.602967e+02
4.000000e+00 5.746479e+02
4.100000e+00 5.889984e+02
4.200000e+00 6.033481e+02
4.300000e+00 6.176970e+02
4.400000e+00 6.320452e+02
4.500000e+00 6.463926e+02
4.600000e+00 6.607392e+02
4.700000e+00 6.750851e+02
4.800000e+00 6.894302e+02
4.900000e+00 7.037745e+02
5.000000e+00 7.181181e+02
5.100000e+00 7.324609e+02
5.200000e+00 7.468029e+02
5.300000e+00 7.611442e+02
5.400000e+00 7.754847e+02
5.500000e+00 7.898244e+02
5.600000e+00 8.041634e+02
5.700000e+00 8.185016e+02
5.800000e+00 8.328390e+02
5.900000e+00 8.471757e+02
6.000000e+00 8.615116e+02
6.100000e+00 8.758466e+02
6.200000e+00 8.901798e+02
6.300000e+00 9.045059e+02
6.400000e+00 9.187931e+02
6.500000e+00 9.329197e+02
6.600000e+00 9.467275e+02
6.700000e+00 9.602448e+02
6.800000e+00 9.735758e+02
6.900000e+00 9.866917e+02
7.000000e+00 9.994276e+02
7.100000e+00 1.011675e+03
7.200000e+00 1.023483e+03
7.300000e+00 1.035021e+03
7.400000e+00 1.046434e+03
7.500000e+00 1.057797e+03
7.600000e+00 1.069136e+03
7.700000e+00 1.080452e+03
7.800000e+00 1.091701e+03
7.900000e+00 1.102785e+03
8.000000e+00 1.113649e+03
8.100000e+00 1.124348e+03
8.200000e+00 1.134953e+03
8.300000e+00 1.145507e+03
8.400000e+00 1.156019e+03
8.500000e+00 1.166485e+03
8.600000e+00 1.176893e+03
8.700000e+00 1.187236e+03
8.800000e+00 1.197518e+03
8.900000e+00 1.207747e+03
9.000000e+00 1.217927e+03
9.100000e+00 1.228029e+03
9.200000e+00 1.237995e+03
9.300000e+00 1.247792e+03
9.400000e+00 1.257451e+03
9.500000e+00 1.266991e+03
9.600000e+00 1.276368e+03
9.700000e+00 1.285494e+03
9.800000e+00 1.294321e+03
9.900000e+00 1.302893e+03
1.000000e+01 1.311298e+03
