# penetration_um max_slip avg_slip
1.000000e-01 3.011960e-223 1.453340e-229
2.000000e-01 4.000459e-187 1.930314e-193
3.000000e-01 5.404083e-166 2.607597e-172
4.000000e-01 5.309229e-151 2.561828e-157
5.000000e-01 2.258884e-139 1.089966e-145
6.000000e-01 7.166458e-130 3.457988e-136
7.000000e-01 7.737137e-122 3.733356e-128
8.000000e-01 7.035175e-115 3.394644e-121
9.000000e-01 9.665821e-109 4.663998e-115
1.000000e+00 2.990884e-103 1.443176e-109
1.100000e+00 2.770677e-98 1.336921e-104
1.200000e+00 9.481610e-94 4.575117e-100
1.300000e+00 1.406087e-89 6.784730e-96
1.400000e+00 1.022976e-85 4.936122e-92
1.500000e+00 4.028687e-82 1.943946e-88
1.600000e+00 9.297132e-79 4.486110e-85
1.700000e+00 1.341514e-75 6.473159e-82
1.800000e+00 1.277148e-72 6.162579e-79
1.900000e+00 8.391477e-70 4.049113e-76
2.000000e+00 3.953009e-67 1.907434e-73
2.100000e+00 1.379202e-64 6.655025e-71
2.200000e+00 3.665097e-62 1.768510e-68
2.300000e+00 7.600229e-60 3.667321e-66
2.400000e+00 1.256123e-57 6.061143e-64
2.500000e+00 1.685611e-55 8.133548e-62
2.600000e+00 1.866849e-53 9.008074e-60
2.700000e+00 1.731365e-51 8.354329e-58
2.800000e+00 1.362098e-49 6.572516e-56
2.900000e+00 9.195810e-48 4.437245e-54
3.000000e+00 5.383231e-46 2.597566e-52
3.100000e+00 2.758246e-44 1.330935e-50
3.200000e+00 1.247492e-42 6.019516e-49
3.300000e+00 5.018739e-41 2.421691e-47
3.400000e+00 1.808599e-39 8.727032e-46
3.500000e+00 5.875626e-38 2.835167e-44
3.600000e+00 1.730889e-36 8.352067e-43
3.700000e+00 4.648548e-35 2.243067e-41
3.800000e+00 1.143778e-33 5.519082e-40
3.900000e+00 2.590110e-32 1.249809e-38
4.000000e+00 5.420913e-31 2.615761e-37
4.100000e+00 1.052676e-29 5.079493e-36
4.200000e+00 1.903499e-28 9.184987e-35
4.300000e+00 3.215906e-27 1.551778e-33
4.400000e+00 5.092176e-26 2.457139e-32
4.500000e+00 7.579096e-25 3.657160e-31
4.600000e+00 1.063229e-23 5.130428e-30
4.700000e+00 1.409408e-22 6.800858e-29
4.800000e+00 1.769630e-21 8.539049e-28
4.900000e+00 2.109283e-20 1.017799e-26
5.000000e+00 2.391697e-19 1.154074e-25
5.100000e+00 2.584963e-18 1.247332e-24
5.200000e+00 2.668011e-17 1.287406e-23
5.300000e+00 2.634314e-16 1.271146e-22
5.400000e+00 2.492373e-15 1.202656e-21
5.500000e+00 2.263100e-14 1.092024e-20
5.600000e+00 1.975068e-13 9.530393e-20
5.700000e+00 1.659040e-12 8.005450e-19
5.800000e+00 1.343088e-11 6.480874e-18
5.900000e+00 1.049230e-10 5.062906e-17
6.000000e+00 7.918866e-10 3.821136e-16
6.100000e+00 5.779536e-09 2.788834e-15
6.200000e+00 4.078198e-08 1.967880e-14
6.300000e+00 2.761785e-07 1.332673e-13
6.400000e+00 1.712398e-06 8.263387e-13
6.500000e+00 8.167799e-06 3.942403e-12
6.600000e+00 2.459519e-05 1.188339e-11
6.700000e+00 4.994062e-05 2.422478e-11
6.800000e+00 8.001015e-05 3.941598e-11
6.900000e+00 1.121187e-04 5.801241e-11
7.000000e+00 1.452244e-04 8.272331e-11
7.100000e+00 1.789979e-04 1.153520e-10
7.200000e+00 2.132779e-04 1.551611e-10
7.300000e+00 2.478964e-04 1.993703e-10
7.400000e+00 2.827050e-04 2.456107e-10
7.500000e+00 3.176079e-04 2.926777e-10
7.600000e+00 3.525544e-04 3.401166e-10
7.700000e+00 3.875225e-04 3.879674e-10
7.800000e+00 4.225088e-04 4.370391e-10
7.900000e+00 4.575261e-04 4.891309e-10
8.000000e+00 4.925869e-04 5.452376e-10
8.100000e+00 5.276885e-04 6.043895e-10
8.200000e+00 5.628207e-04 6.652461e-10
8.300000e+00 5.979756e-04 7.270679e-10
8.400000e+00 6.331519e-04 7.896634e-10
8.500000e+00 6.683542e-04 8.531601e-10
8.600000e+00 7.035903e-04 9.177941e-10
8.700000e+00 7.388661e-04 9.837090e-10
8.800000e+00 7.741834e-04 1.050850e-09
8.900000e+00 8.095414e-04 1.119044e-09
9.000000e+00 8.449505e-04 1.188278e-09
9.100000e+00 8.804613e-04 1.259153e-09
9.200000e+00 9.161780e-04 1.332967e-09
9.300000e+00 9.521790e-04 1.410373e-09
9.400000e+00 9.884511e-04 1.490762e-09
9.500000e+00 1.024956e-03 1.573721e-09
9.600000e+00 1.061727e-03 1.660315e-09
9.700000e+00 1.098868e-03 1.752570e-09
9.800000e+00 1.136458e-03 1.851546e-09
9.900000e+00 1.174468e-03 1.956272e-09
1.000000e+01 1.212783e-03 2.064748e-09
