# step penetration_um vm_avg vm_max vm_contact_avg vm_contact_max
1.000000e+00 1.000000e-01 1.221361e-03 8.822500e-01 8.822488e-01 8.822500e-01
2.000000e+00 2.000000e-01 2.442672e-03 1.764461e+00 1.764459e+00 1.764461e+00
3.000000e+00 3.000000e-01 3.663935e-03 2.646633e+00 2.646630e+00 2.646633e+00
4.000000e+00 4.000000e-01 4.885148e-03 3.528766e+00 3.528761e+00 3.528766e+00
5.000000e+00 5.000000e-01 6.106311e-03 4.410860e+00 4.410854e+00 4.410860e+00
6.000000e+00 6.000000e-01 7.327425e-03 5.292915e+00 5.292908e+00 5.292915e+00
7.000000e+00 7.000000e-01 8.548491e-03 6.174931e+00 6.174923e+00 6.174931e+00
8.000000e+00 8.000000e-01 9.769506e-03 7.056908e+00 7.056899e+00 7.056908e+00
9.000000e+00 9.000000e-01 1.099047e-02 7.938847e+00 7.938836e+00 7.938847e+00
1.000000e+01 1.000000e+00 1.221139e-02 8.820746e+00 8.820734e+00 8.820746e+00
1.100000e+01 1.100000e+00 1.343226e-02 9.702606e+00 9.702594e+00 9.702606e+00
1.200000e+01 1.200000e+00 1.465308e-02 1.058443e+01 1.058441e+01 1.058443e+01
1.300000e+01 1.300000e+00 1.587385e-02 1.146621e+01 1.146619e+01 1.146621e+01
1.400000e+01 1.400000e+00 1.709457e-02 1.234795e+01 1.234794e+01 1.234795e+01
1.500000e+01 1.500000e+00 1.831524e-02 1.322966e+01 1.322964e+01 1.322966e+01
1.600000e+01 1.600000e+00 1.953586e-02 1.411132e+01 1.411131e+01 1.411132e+01
1.700000e+01 1.700000e+00 2.075643e-02 1.499295e+01 1.499293e+01 1.499295e+01
1.800000e+01 1.800000e+00 2.197695e-02 1.587454e+01 1.587452e+01 1.587454e+01
1.900000e+01 1.900000e+00 2.319743e-02 1.675609e+01 1.675607e+01 1.675609e+01
2.000000e+01 2.000000e+00 2.441785e-02 1.763760e+01 1.763757e+01 1.763760e+01
2.100000e+01 2.100000e+00 2.563823e-02 1.851907e+01 1.851904e+01 1.851907e+01
2.200000e+01 2.200000e+00 2.685856e-02 1.940050e+01 1.940048e+01 1.940050e+01
2.300000e+01 2.300000e+00 2.807883e-02 2.028189e+01 2.028187e+01 2.028189e+01
2.400000e+01 2.400000e+00 2.929906e-02 2.116325e+01 2.116322e+01 2.116325e+01
2.500000e+01 2.500000e+00 3.051924e-02 2.204456e+01 2.204454e+01 2.204456e+01
2.600000e+01 2.600000e+00 3.173937e-02 2.292584e+01 2.292581e+01 2.292584e+01
2.700000e+01 2.700000e+00 3.295945e-02 2.380708e+01 2.380705e+01 2.380708e+01
2.800000e+01 2.800000e+00 3.417948e-02 2.468828e+01 2.468825e+01 2.468828e+01
2.900000e+01 2.900000e+00 3.539946e-02 2.556944e+01 2.556940e+01 2.556944e+01
3.000000e+01 3.000000e+00 3.661940e-02 2.645056e+01 2.645052e+01 2.645056e+01
3.100000e+01 3.100000e+00 3.783928e-02 2.733164e+01 2.733161e+01 2.733164e+01
3.200000e+01 3.200000e+00 3.905911e-02 2.821268e+01 2.821265e+01 2.821268e+01
3.300000e+01 3.300000e+00 4.027890e-02 2.909369e+01 2.909365e+01 2.909369e+01
3.400000e+01 3.400000e+00 4.149864e-02 2.997466e+01 2.997462e+01 2.997466e+01
3.500000e+01 3.500000e+00 4.271832e-02 3.085558e+01 3.085554e+01 3.085558e+01
3.600000e+01 3.600000e+00 4.393796e-02 3.173647e+01 3.173643e+01 3.173647e+01
3.700000e+01 3.700000e+00 4.515755e-02 3.261732e+01 3.261728e+01 3.261732e+01
3.800000e+01 3.800000e+00 4.637709e-02 3.349813e+01 3.349809e+01 3.349813e+01
3.900000e+01 3.900000e+00 4.759658e-02 3.437890e+01 3.437886e+01 3.437890e+01
4.000000e+01 4.000000e+00 4.881602e-02 3.525964e+01 3.525959e+01 3.525964e+01
4.100000e+01 4.100000e+00 5.003541e-02 3.614033e+01 3.614028e+01 3.614033e+01
4.200000e+01 4.200000e+00 5.125476e-02 3.702099e+01 3.702094e+01 3.702099e+01
4.300000e+01 4.300000e+00 5.247405e-02 3.790160e+01 3.790155e+01 3.790160e+01
4.400000e+01 4.400000e+00 5.369330e-02 3.878218e+01 3.878213e+01 3.878218e+01
4.500000e+01 4.500000e+00 5.491249e-02 3.966272e+01 3.966267e+01 3.966272e+01
4.600000e+01 4.600000e+00 5.613164e-02 4.054322e+01 4.054317e+01 4.054322e+01
4.700000e+01 4.700000e+00 5.735074e-02 4.142368e+01 4.142363e+01 4.142368e+01
4.800000e+01 4.800000e+00 5.856979e-02 4.230411e+01 4.230405e+01 4.230411e+01
4.900000e+01 4.900000e+00 5.978879e-02 4.318449e+01 4.318444e+01 4.318449e+01
5.000000e+01 5.000000e+00 6.100774e-02 4.406484e+01 4.406478e+01 4.406484e+01
5.100000e+01 5.100000e+00 6.222664e-02 4.494514e+01 4.494509e+01 4.494514e+01
5.200000e+01 5.200000e+00 6.344549e-02 4.582541e+01 4.582535e+01 4.582541e+01
5.300000e+01 5.300000e+00 6.466429e-02 4.670564e+01 4.670558e+01 4.670564e+01
5.400000e+01 5.400000e+00 6.588305e-02 4.758583e+01 4.758577e+01 4.758583e+01
5.500000e+01 5.500000e+00 6.710175e-02 4.846598e+01 4.846592e+01 4.846598e+01
5.600000e+01 5.600000e+00 6.832041e-02 4.934610e+01 4.934603e+01 4.934610e+01
5.700000e+01 5.700000e+00 6.953902e-02 5.022617e+01 5.022611e+01 5.022617e+01
5.800000e+01 5.800000e+00 7.075758e-02 5.110621e+01 5.110614e+01 5.110621e+01
5.900000e+01 5.900000e+00 7.197609e-02 5.198620e+01 5.198614e+01 5.198620e+01
6.000000e+01 6.000000e+00 7.319454e-02 5.286616e+01 5.286609e+01 5.286616e+01
6.100000e+01 6.100000e+00 7.441294e-02 5.374608e+01 5.374601e+01 5.374608e+01
6.200000e+01 6.200000e+00 7.563121e-02 5.462598e+01 5.462584e+01 5.462598e+01
