# step eps eps_xx eps_yy eps_zz
1.000000e+00 1.000000e-03 1.000000e-03 -3.000000e-04 -3.000000e-04
2.000000e+00 2.000000e-03 2.000000e-03 -6.000000e-04 -6.000000e-04
3.000000e+00 3.000000e-03 3.000000e-03 -9.000000e-04 -9.000000e-04
4.000000e+00 4.000000e-03 4.000000e-03 -1.200000e-03 -1.200000e-03
5.000000e+00 5.000000e-03 5.000000e-03 -1.500000e-03 -1.500000e-03
6.000000e+00 6.000000e-03 6.000000e-03 -1.800000e-03 -1.800000e-03
7.000000e+00 7.000000e-03 7.000000e-03 -2.100000e-03 -2.100000e-03
8.000000e+00 8.000000e-03 8.000000e-03 -2.400000e-03 -2.400000e-03
9.000000e+00 9.000000e-03 9.000000e-03 -2.700000e-03 -2.700000e-03
1.000000e+01 1.000000e-02 1.000000e-02 -3.000000e-03 -3.000000e-03
1.100000e+01 1.100000e-02 1.100000e-02 -3.300000e-03 -3.300000e-03
1.200000e+01 1.200000e-02 1.200000e-02 -3.600000e-03 -3.600000e-03
1.300000e+01 1.300000e-02 1.300000e-02 -3.900000e-03 -3.900000e-03
1.400000e+01 1.400000e-02 1.400000e-02 -4.200000e-03 -4.200000e-03
1.500000e+01 1.500000e-02 1.500000e-02 -4.500000e-03 -4.500000e-03
1.600000e+01 1.600000e-02 1.600000e-02 -4.800000e-03 -4.800000e-03
1.700000e+01 1.700000e-02 1.700000e-02 -5.100000e-03 -5.100000e-03
1.800000e+01 1.800000e-02 1.800000e-02 -5.400000e-03 -5.400000e-03
1.900000e+01 1.900000e-02 1.900000e-02 -5.700000e-03 -5.700000e-03
2.000000e+01 2.000000e-02 2.000000e-02 -6.000000e-03 -6.000000e-03
