# step eps sigma_xx sigma_yy sigma_zz sigma_vm
1.000000e+00 1.000000e-03 1.118845e+02 4.083281e+00 7.482685e-01 1.100589e+02
2.000000e+00 2.000000e-03 1.919371e+02 6.523193e+00 1.300137e+00 1.894091e+02
3.000000e+00 3.000000e-03 2.053446e+02 7.229441e+00 1.408321e+00 2.051827e+02
4.000000e+00 4.000000e-03 2.135245e+02 7.833121e+00 1.480613e+00 2.161900e+02
5.000000e+00 5.000000e-03 2.195672e+02 8.309145e+00 1.539383e+00 2.247597e+02
6.000000e+00 6.000000e-03 2.245071e+02 8.731449e+00 1.592870e+00 2.318143e+02
7.000000e+00 7.000000e-03 2.288188e+02 9.117666e+00 1.644218e+00 2.379025e+02
8.000000e+00 8.000000e-03 2.327477e+02 9.479699e+00 1.694639e+00 2.433535e+02
9.000000e+00 9.000000e-03 2.364195e+02 9.825489e+00 1.743877e+00 2.483478e+02
1.000000e+01 1.000000e-02 2.399130e+02 1.015864e+01 1.792306e+00 2.530091e+02
1.100000e+01 1.100000e-02 2.432748e+02 1.048054e+01 1.840728e+00 2.574161e+02
1.200000e+01 1.200000e-02 2.465359e+02 1.079308e+01 1.890310e+00 2.616241e+02
1.300000e+01 1.300000e-02 2.497177e+02 1.109732e+01 1.941942e+00 2.656724e+02
1.400000e+01 1.400000e-02 2.528355e+02 1.139344e+01 1.995446e+00 2.695901e+02
1.500000e+01 1.500000e-02 2.559009e+02 1.168306e+01 2.050336e+00 2.733995e+02
1.600000e+01 1.600000e-02 2.589228e+02 1.196661e+01 2.106086e+00 2.771186e+02
1.700000e+01 1.700000e-02 2.619077e+02 1.224496e+01 2.162647e+00 2.807611e+02
1.800000e+01 1.800000e-02 2.648609e+02 1.251885e+01 2.220090e+00 2.843377e+02
1.900000e+01 1.900000e-02 2.677864e+02 1.278865e+01 2.277782e+00 2.878566e+02
2.000000e+01 2.000000e-02 2.706875e+02 1.305376e+01 2.335574e+00 2.913251e+02
