# eps min q25 median q75 max
1.000000e-03 1.026479e+02 1.111583e+02 1.119923e+02 1.130341e+02 2.123336e+02
2.000000e-03 1.605263e+02 1.872137e+02 1.914210e+02 1.959750e+02 2.808112e+02
3.000000e-03 1.484905e+02 1.961475e+02 2.039971e+02 2.131888e+02 3.073288e+02
4.000000e-03 1.314013e+02 2.014495e+02 2.117395e+02 2.238270e+02 3.298288e+02
5.000000e-03 1.202797e+02 2.055270e+02 2.175381e+02 2.317457e+02 3.490982e+02
6.000000e-03 1.128617e+02 2.091360e+02 2.224095e+02 2.381526e+02 3.674123e+02
7.000000e-03 1.091536e+02 2.123168e+02 2.266432e+02 2.436749e+02 3.854322e+02
8.000000e-03 1.072099e+02 2.152670e+02 2.305767e+02 2.485377e+02 4.028005e+02
9.000000e-03 1.054116e+02 2.181566e+02 2.342018e+02 2.531826e+02 4.195313e+02
1.000000e-02 1.039214e+02 2.208205e+02 2.377033e+02 2.574274e+02 4.357270e+02
1.100000e-02 1.028903e+02 2.233807e+02 2.411194e+02 2.616219e+02 4.512451e+02
1.200000e-02 1.019142e+02 2.259963e+02 2.444164e+02 2.657329e+02 4.658642e+02
1.300000e-02 1.007203e+02 2.285625e+02 2.475659e+02 2.695443e+02 4.796779e+02
1.400000e-02 9.964321e+01 2.310258e+02 2.506948e+02 2.732755e+02 4.929298e+02
1.500000e-02 9.894002e+01 2.335170e+02 2.537774e+02 2.770151e+02 5.058108e+02
1.600000e-02 9.831892e+01 2.358485e+02 2.567052e+02 2.804919e+02 5.184374e+02
1.700000e-02 9.752537e+01 2.383151e+02 2.596794e+02 2.840753e+02 5.308570e+02
1.800000e-02 9.661797e+01 2.407260e+02 2.626974e+02 2.875923e+02 5.429958e+02
1.900000e-02 9.575863e+01 2.431293e+02 2.656186e+02 2.910311e+02 5.548270e+02
2.000000e-02 9.495497e+01 2.455665e+02 2.684885e+02 2.944408e+02 5.664283e+02
