# eps sigma_xx_avg sigma_vm_avg
1.000000e-03 1.118845e+02 1.100589e+02
2.000000e-03 1.919371e+02 1.894091e+02
3.000000e-03 2.053446e+02 2.051827e+02
4.000000e-03 2.135245e+02 2.161900e+02
5.000000e-03 2.195672e+02 2.247597e+02
6.000000e-03 2.245071e+02 2.318143e+02
7.000000e-03 2.288188e+02 2.379025e+02
8.000000e-03 2.327477e+02 2.433535e+02
9.000000e-03 2.364195e+02 2.483478e+02
1.000000e-02 2.399130e+02 2.530091e+02
1.100000e-02 2.432748e+02 2.574161e+02
1.200000e-02 2.465359e+02 2.616241e+02
1.300000e-02 2.497177e+02 2.656724e+02
1.400000e-02 2.528355e+02 2.695901e+02
1.500000e-02 2.559009e+02 2.733995e+02
1.600000e-02 2.589228e+02 2.771186e+02
1.700000e-02 2.619077e+02 2.807611e+02
1.800000e-02 2.648609e+02 2.843377e+02
1.900000e-02 2.677864e+02 2.878566e+02
2.000000e-02 2.706875e+02 2.913251e+02
