# eps sigma_xx_cell0 sigma_vm_cell0
1.000000e-03 2.123232e+02 1.698959e+02
2.000000e-03 2.711651e+02 2.007742e+02
3.000000e-03 2.853524e+02 2.001365e+02
4.000000e-03 3.004640e+02 2.023214e+02
5.000000e-03 3.148059e+02 2.042597e+02
6.000000e-03 3.283486e+02 2.060994e+02
7.000000e-03 3.416525e+02 2.088890e+02
8.000000e-03 3.547658e+02 2.119925e+02
9.000000e-03 3.677444e+02 2.152070e+02
1.000000e-02 3.806320e+02 2.183467e+02
1.100000e-02 3.935053e+02 2.215413e+02
1.200000e-02 4.064824e+02 2.252811e+02
1.300000e-02 4.195053e+02 2.297492e+02
1.400000e-02 4.322384e+02 2.344775e+02
1.500000e-02 4.444815e+02 2.393201e+02
1.600000e-02 4.564673e+02 2.443001e+02
1.700000e-02 4.683697e+02 2.493652e+02
1.800000e-02 4.803729e+02 2.544671e+02
1.900000e-02 4.923512e+02 2.594147e+02
2.000000e-02 5.041340e+02 2.641659e+02
