# eps max_slip
1.000000e-03 5.469643e-04
2.000000e-03 5.517278e-03
3.000000e-03 1.018374e-02
4.000000e-03 1.543081e-02
5.000000e-03 2.037964e-02
6.000000e-03 2.512555e-02
7.000000e-03 2.976017e-02
8.000000e-03 3.438478e-02
9.000000e-03 3.904908e-02
1.000000e-02 4.374722e-02
1.100000e-02 4.846781e-02
1.200000e-02 5.326347e-02
1.300000e-02 5.810707e-02
1.400000e-02 6.296262e-02
1.500000e-02 6.782917e-02
1.600000e-02 7.269670e-02
1.700000e-02 7.755275e-02
1.800000e-02 8.236906e-02
1.900000e-02 8.711357e-02
2.000000e-02 9.177478e-02
